,modelGb1_bin16,modelGb1_bin17,modelGb1_bin20,modelGb1_bin43,modelGb2_bin20,modelGb2_bin21,modelGb4_bin17,modelGb7_bin10,modelGb7_bin15,modelGb7_bin28,modelGb7_bin5,modelGb7_bin9,modelGb8_bin5,modelGb8_bin50
LADGMDH,0,,0,,0,,,4.18E-16,,0,0,,,
LALGP,0,,0,,0,,,0,0,0,0,,0,
LEUt2r,8.626123668,,,,,,,,,,,,,
LYSt5r,6.570356367,,15.00402173,,,,,,,,13.85621847,7.236409083,,
MALS,0,,,,0,,,0,,0,0,0,,
MAN6PI,0,,234.9793043,0,0,0,0,,0,0,-1000,0,0,
MAN6Pt6,0,,,,,,,,,,,,,
MBCOAi,0,-1.04E-17,,0,0,0,0,0,,,,0,0,
MCA,-1000,,0,,,-1000,-1000,,,-1000,-1000,,-1000,
MCCC,0,0,,0,0,0,,0,,,,0,0,
MCD,0,0,,0,0,0,0,0,0,,,,0,0
MCITD,0,7.46368256,,,0,0,0,0,,0,0,,0,
MCPST,9.970289522,,,,,,,,,,,,,
MCTP1App,0,,0,,0,0,0,0,,0,0,,0,
MDDEP2pp,0,,0,,,,0,,,,,,,
METAT,0.006184342,0.008867948,0.009750225,0.002854242,0.013582172,0.007284775,0.003032349,,0.006440717,0.005017217,0.013042154,,0.009795181,0.004837812
METS,0.001914657,0.002745495,0.004372298,0.000883666,0.00304533,0,0.001359798,,0,0.001553318,-9.51E-14,0,0.003032564,0.001497775
METabc,2.946829558,,,,,0,0,0,,0,,,,0
MEVK2,0.015317257,0.021963959,,,,,,,,,,0,,
MEVRt,0,,,,,,,,,,,,,
MGCH,0,0,,0,0,0,0,0,,,,0,0,
MGt5,-0.184551668,,-0.421440951,-114.3623723,,,-0.131069391,-0.189268949,-0.278391712,,-0.389200842,-0.203260111,,-0.144368831
MICITDr,0,7.46368256,,,0,0,0,0,,0,0,,0,
MLDCP1App,0,,0,,,,0,,,,,,,
MLTGY2pp,0,,5.05E-36,,,0,0,0,,0,0,,0,
MMCD,1.34E-13,7.46368256,,0,-4.15E-13,0,0,0,0,,,0,0,0
MME,0,7.46368256,,,0,0,,0,,,,0,0,0
MMM,0,,,,0,,,0,,,,,,
MMM2,0,7.46368256,,,0,0,,0,,,,0,0,0
MNt2,0.01323028,,0.03021258,0.006106133,,,,0.013568456,,,,,,
MPTG,0,,0,,0,0,0,0,,0,0,,0,
MTHFR2,0.001914657,0.002745495,,,0,,,,0,,0,,,
MVNOR,0,,,,,,,,,,,,,
NADDP,0,0,0,0,0,0,0,,,0,0,0,0,
NADDPp_1,-1000,-1000,-1000,,-1000,,-1000,,-0.073103899,-1000,-1000,-1000,-1000,0
NADH17pp,0,,0,,,,0,,,,,,0,
NADH6,214.2753863,,,0,0,,,,,0,,0,,0
NADK2,0,,,,,,,,,,,,,
NADK3,0,,,,,,,,9.59008262,,,,,
NADK4,0,,,,0.013612626,,,,,,,,,
NADKd,-1000,,-999.9804558,0.003949988,,,-50.35580467,-0.570883149,-230.6874705,,-138.5242331,-999.9905739,,-0.435453008
NDPK1,4.635633685,-1000,9.433888898,4.588551438,,,,-995.776381,,3.351516694,,,,
NDPK2,7.747257778,-1000,22.06388395,-402.4531368,,,,7.945283578,,5.345029548,,,15.32745661,
NDPK3,0.015317257,-1000,-1.020785853,-406.2745158,,,,-65.39574865,,16.26936007,,,,
NDPK4,-1000,0.730658535,-998.8364003,0.235170076,0.796841075,-11.11778355,,,,-999.5935588,,-999.4387982,,
NDPK5,0,-999.2582497,1.181263766,-405.7970356,,,,0.530505046,,-1000,,0.569721105,0,0.406151543
NDPK6,-1000,0.718386173,0,0,,,,0,,-0.451601335,,0,,
NDPK7,0,0.741750334,1.181263766,0.238740088,0.836369459,0.609327474,0.367376549,0.530505046,,-0.451548674,,0,,0.404653769
NDPK8,0,-1000,1.144055509,-405.8045556,,,4.314454582,-994.7320812,,3.351516694,,5.114963969,,4.01821477
NDPK9,-742.4044357,,-1000,-1000,,,,-1000,,0,,,,
NH3c,-32.18864829,-220.8241339,-1000,-6.271095081,10.4791027,-1000,734.5429278,0,-188.3762947,-108.7608488,-1000,-20.06182334,-212.8863034,-110.8901919
NH4tex,-993.638504,-370.3205439,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-890.6061653,-1000,-1000,-1000,-1000
NH4tpp,-993.638504,-370.3205439,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-890.6061653,-1000,-1000,-1000,-1000
NMNP,0.043615888,,,,0.06937262,,0.030976192,,,,,,,
NPHS,0.001914657,0,,0.000883666,0.00304533,0.002255348,0.001359798,0.001963597,0.002888214,,0.004037819,,0.003032564,0.001497775
NTP3,0,0,0,0,0,0,0,,,0,0,0,0,0
NTPP9_1,4.633498842,,,,,,,,,,,,,
O2tex,428.1560068,43.25625662,-9.319560191,0.017249164,126.6436433,-4.839504142,-499.9991059,-50.91021065,675.3140094,274.9532967,338.4437402,-444.4898833,-110.8475753,449.7055806
O2tpp,428.1560068,407.6668767,-9.319560191,0,126.6436433,-4.839504142,-0.001684525,449.0897893,675.3140094,274.9532967,338.4437402,-444.4898833,-110.8475753,449.7055806
OCBT_2,0,8.120954018,,,,,,,,,,,,
OCTDPS,0.001914657,0.002745495,0.004372298,0.000883666,0,,0.001359798,0.001963597,0.002888214,0.001553318,0.004037819,0.00210875,0.003032564,
OIVD1r,0,0,0,0,0,-11.20570652,0,0,,-7.775754834,-9.84E-15,0,-15.06635189,
OMCDC,0,0,-4.04E-16,0,0,0,0,0,-2.22E-15,0,0,0,0,
OPAH,11.72373247,0,0,,0,1.18E-14,0,0,,0,0,0,0,
ORNTA_1,0,,,,,,,,,,,,,
ORNt,-500,,,,,,,,,,-266.0742002,,,3.310905684
P52O,0,,0,,0,,,1.963597166,,,,,,
P5CRx,4.232445198,,0,,,,0,,,0,,,,0
PAPPT3,1.914657075,2.745494813,4.372298055,0.883666165,3.045330102,2.25534839,1.359797716,1.963597166,2.888213726,1.553318051,4.037818538,2.108750436,3.032563745,1.497774619
PC2DHG,0,,,,,,,,,,,,0,0
PDH2,1.535554974,,,,0,,,,,,,,,0
PDHa,483.7889815,0,0,0,0,0,0,0,,,0,0,,
PDHbr,483.7889815,,0,-22.02710805,,0,,-507.8000148,,,,0,,
PDHcr,483.7889815,,0,0,0,0,,0,,,0,0,,
PEPC,4.615376613,,,,,,,,,,,,,
PGAMT,-6.302401818,,-57.13666005,-0.981851294,-32.75732687,,-20.90141361,-26.92673393,,-3.451817892,,-2.34305604,-206.0651275,-50
PGCM,122.2316524,,,,,,-54.45201852,,,,,,,
PGI1c,122.2316524,,,,,,,,,0,,,,
PGM,-1000,6.651812289,-1000,0,-1000,0,,0,-59.55519167,-220.0313732,,-133.9986129,0,0
PHCD,0,,0,,0,,,0,,,0,,0,0
PHETA1,-3.94132159,-1000,-2.76149487,-2.850529918,-1000,-1000,,0,0,-3.186923075,-1000,0,-1000,-1000
PMDPHT,0,,0,0.003941151,,0.010058854,0.006064698,,,0,0.018008671,0.009405027,0.013525234,
PMEVK,0.015317257,0.021963959,,,,,0,0,0.02310571,,,0,,0
PPANA,4.615376613,,,,,0,0,0,,0,0,,0,
PPAP_Et,-168.3112614,,,-37.70688304,-803.9079513,-385.706398,,,-497.5623736,-1000,-1000,-181.0588248,-126.8243758,-104.7568124
PPA_1pp,21.41604251,,,9.910802056,29.68371565,0,0,0,,0,0,,0,0
PPBNGS,0,,0,0,12.01045709,,,,,0,-2.59E-16,,0,0
PPCOAC,0,0,,0,,0,0,,0,,,,0,0
PPND,2.640235521,,,,,,,0,,0,,0,,
PPNDH,3.547189431,,,,,0,,,,0,,,,
PRAMPC_1,3.20E-19,,,0,,,,,,,,,0,
PRATPP_1,0,,,,,,,0,,0,,0,,
PRMICI,0,,0,0,0,0,0,0,,0,0,0,0,
PRPPS,0,5.593149489,0.09960095,,0.006791086,,6.071537598,-413.3638106,0,6.552889665,30.45766901,0.052739848,9.313913031,0.034119306
PSCVT,0,0,0,-1000,,0,0,0,,0,-1000,0,4.188546719,0
PTA2,0,,,0,0,0,,,0,0,,0,746.3512484,-8.23E-14
PTRCTA2,0,,,0,0,0,,0,,,0,0,0,
PYDAMK,0,,,,,,,,,,,,,
PYDAMtex,0,,,,,,,,,,,,,
PYDAMtpp,0,,,,,,,,,,,,,
PYDXS,-0.003162415,-1000,,-8.504516143,0.006791086,-1000,-999.9969677,,,,0.009004335,-1000,,0.003340037
PYK6,490.7522638,,,,,,,,,,,,0.79350063,
QUINDH,0,,,,,,,,,,,,,
