,modelGb1_bin16,modelGb1_bin17,modelGb1_bin20,modelGb1_bin43,modelGb2_bin20,modelGb2_bin21,modelGb4_bin17,modelGb7_bin10,modelGb7_bin15,modelGb7_bin28,modelGb7_bin5,modelGb7_bin9,modelGb8_bin5,modelGb8_bin50
PYDXS,0.004744095,0,,-0.019705755,0.007545651,-11.75131737,0,,,,0.010004817,-0.02090006,,0.003711153
PYK6,989.7247375,,,,,,,,,,,,0.881667366,
QUINDH,0,,,,,,,,,,,,,
QUIN_Et,0,,,,,,,,,,,0,,
RBFK,0.004744095,0.006802726,,0.002189528,0.007545651,0.005588252,0.003369277,,0.007156352,,,0.005225015,0.007514019,
RBFSa,0,,0,0.008758114,,0.022353008,0.013477106,,,0,0.040019268,0.02090006,0.030056076,
RBFSb,0,,0,0.004379057,,0.011176504,0.006738553,,,0,0.020009634,0.01045003,0.015028038,
RIBFLVt2,0.00948819,0.013605452,0.021667166,,0.015091303,,,0.009730715,0.014312704,0.007697554,,,,0.007422305
RNTR2_2,0.57475878,,,,,,,,,,,,,
RNTR3_2,0.57475878,,,,,,,,0.867009669,,,0.63302345,,
RPE,-0.004744095,,-0.077389676,,-0.015091303,11.72896436,-0.016846383,3.052506338,0,0,-0.050024085,,-0.007514019,0
SAMU3,0,,,,,,,,,,0,,,
SERt2r,4.597623487,,,,,,,,,,,,,
SHCHF,0,,,,,,,,,,0.127783497,,0,0
SHKK_1,0,0,0,,,,0,0,,,0,,4.653940799,0
SKDH_1,0,0,,,,,,,,,,,,
SUCBZT1,0.002127397,,0.004858109,0.000981851,-10.00871424,0.002505943,,0.002181775,0.003209126,,0.004486465,0.002343056,0.003369515,0.001664194
SUCOAACTr,-1000,,,,,,,,,,,,,
SUCOAS,-999.9978726,,,-283.0915982,,,-990.1792236,-702.8380322,,,-990.8556421,-396.3803182,,0.003328388
TALA,-0.002372047,0,-0.033278046,0.010947642,-0.007545651,5.86448218,-0.008423191,1.526253169,,,0,,,
TCYNTtex,-17.59128417,,,0,,,,,,,,,,
TCYNTtpp,-17.59128417,,,0,,,,,,,,,,
THD2pp,13.69402097,,,,416.8949684,,,,,,0,,186.9394943,
THFOR2,0.014232284,,,,,,,0.014596072,,,,,,
THMtrbc,0.004744095,0.006802726,0,0.002189528,0,0.005588252,,,0.007156352,,0,0,0,0
